CoC Number,CoC Name,CoC Category,year,Population,Overall Homeless,Overall Homeless - Non-Hispanic/Non-Latino,Overall Homeless - Hispanic/Latino,Overall Homeless - White,"Overall Homeless - Black, African American, or African",Overall Homeless - Asian or Asian American,"Overall Homeless - American Indian, Alaska Native, or Indigenous",Overall Homeless - Native Hawaiian or Other Pacific Islander,Overall Homeless - Multiple Races,Sheltered ES Homeless,Sheltered ES Homeless - Non-Hispanic/Non-Latino,Sheltered ES Homeless - Hispanic/Latino,Sheltered ES Homeless - White,"Sheltered ES Homeless - Black, African American, or African",Sheltered ES Homeless - Asian or Asian American,"Sheltered ES Homeless - American Indian, Alaska Native, or Indigenous",Sheltered ES Homeless - Native Hawaiian or Other Pacific Islander,Sheltered ES Homeless - Multiple Races,Sheltered TH Homeless,Sheltered TH Homeless - Non-Hispanic/Non-Latino,Sheltered TH Homeless - Hispanic/Latino,Sheltered TH Homeless - White,"Sheltered TH Homeless - Black, African American, or African",Sheltered TH Homeless - Asian or Asian American,"Sheltered TH Homeless - American Indian, Alaska Native, or Indigenous",Sheltered TH Homeless - Native Hawaiian or Other Pacific Islander,Sheltered TH Homeless - Multiple Races,Sheltered SH Homeless,Sheltered SH Homeless - Non-Hispanic/Non-Latino,Sheltered SH Homeless - Hispanic/Latino,Sheltered SH Homeless - White,"Sheltered SH Homeless - Black, African American, or African",Sheltered SH Homeless - Asian or Asian American,"Sheltered SH Homeless - American Indian, Alaska Native, or Indigenous",Sheltered SH Homeless - Native Hawaiian or Other Pacific Islander,Sheltered SH Homeless - Multiple Races,Sheltered Total Homeless,Sheltered Total Homeless - Non-Hispanic/Non-Latino,Sheltered Total Homeless - Hispanic/Latino,Sheltered Total Homeless - White,"Sheltered Total Homeless - Black, African American, or African",Sheltered Total Homeless - Asian or Asian American,"Sheltered Total Homeless - American Indian, Alaska Native, or Indigenous",Sheltered Total Homeless - Native Hawaiian or Other Pacific Islander,Sheltered Total Homeless - Multiple Races,Unsheltered Homeless,Unsheltered Homeless - Non-Hispanic/Non-Latino,Unsheltered Homeless - Hispanic/Latino,Unsheltered Homeless - White,"Unsheltered Homeless - Black, African American, or African",Unsheltered Homeless - Asian or Asian American,"Unsheltered Homeless - American Indian, Alaska Native, or Indigenous",Unsheltered Homeless - Native Hawaiian or Other Pacific Islander,Unsheltered Homeless - Multiple Races,Overall Chronically Homeless,Sheltered ES Chronically Homeless,Sheltered SH Chronically Homeless,Sheltered Total Chronically Homeless,Unsheltered Chronically Homeless,Overall Chronically Homeless Individuals,Sheltered ES Chronically Homeless Individuals,Sheltered SH Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Overall Chronically Homeless People in Families,Sheltered ES Chronically Homeless People in Families,Sheltered Total Chronically Homeless People in Families,Unsheltered Chronically Homeless People in Families,Overall Homeless Veterans,Overall Homeless Veterans - Non-Hispanic/Non-Latino,Overall Homeless Veterans - Hispanic/Latino,Overall Homeless Veterans - White,"Overall Homeless Veterans - Black, African American, or African",Overall Homeless Veterans - Asian or Asian American,"Overall Homeless Veterans - American Indian, Alaska Native, or Indigenous",Overall Homeless Veterans - Native Hawaiian or Other Pacific Islander,Overall Homeless Veterans - Multiple Races,Sheltered ES Homeless Veterans,Sheltered ES Homeless Veterans - Non-Hispanic/Non-Latino,Sheltered ES Homeless Veterans - Hispanic/Latino,Sheltered ES Homeless Veterans - White,"Sheltered ES Homeless Veterans - Black, African American, or African",Sheltered ES Homeless Veterans - Asian or Asian American,"Sheltered ES Homeless Veterans - American Indian, Alaska Native, or Indigenous",Sheltered ES Homeless Veterans - Native Hawaiian or Other Pacific Islander,Sheltered ES Homeless Veterans - Multiple Races,Sheltered TH Homeless Veterans,Sheltered TH Homeless Veterans - Non-Hispanic/Non-Latino,Sheltered TH Homeless Veterans - Hispanic/Latino,Sheltered TH Homeless Veterans - White,"Sheltered TH Homeless Veterans - Black, African American, or African",Sheltered TH Homeless Veterans - Asian or Asian American,"Sheltered TH Homeless Veterans - American Indian, Alaska Native, or Indigenous",Sheltered TH Homeless Veterans - Native Hawaiian or Other Pacific Islander,Sheltered TH Homeless Veterans - Multiple Races,Sheltered SH Homeless Veterans,Sheltered SH Homeless Veterans - Non-Hispanic/Non-Latino,Sheltered SH Homeless Veterans - Hispanic/Latino,Sheltered SH Homeless Veterans - White,"Sheltered SH Homeless Veterans - Black, African American, or African",Sheltered SH Homeless Veterans - Asian or Asian American,"Sheltered SH Homeless Veterans - American Indian, Alaska Native, or Indigenous",Sheltered SH Homeless Veterans - Native Hawaiian or Other Pacific Islander,Sheltered SH Homeless Veterans - Multiple Races,Sheltered Total Homeless Veterans,Sheltered Total Homeless Veterans - Non-Hispanic/Non-Latino,Sheltered Total Homeless Veterans - Hispanic/Latino,Sheltered Total Homeless Veterans - White,"Sheltered Total Homeless Veterans - Black, African American, or African",Sheltered Total Homeless Veterans - Asian or Asian American,"Sheltered Total Homeless Veterans - American Indian, Alaska Native, or Indigenous",Sheltered Total Homeless Veterans - Native Hawaiian or Other Pacific Islander,Sheltered Total Homeless Veterans - Multiple Races,Unsheltered Homeless Veterans,Unsheltered Homeless Veterans - Non-Hispanic/Non-Latino,Unsheltered Homeless Veterans - Hispanic/Latino,Unsheltered Homeless Veterans - White,"Unsheltered Homeless Veterans - Black, African American, or African",Unsheltered Homeless Veterans - Asian or Asian American,"Unsheltered Homeless Veterans - American Indian, Alaska Native, or Indigenous",Unsheltered Homeless Veterans - Native Hawaiian or Other Pacific Islander,Unsheltered Homeless Veterans - Multiple Races,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)","HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Dedicated Veteran Beds (ES, TH, SH)",Total Year-Round Beds (ES).1,Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),HMIS Participation Rate for Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Dedicated Veteran Beds (ES),Total Year-Round Beds (TH).1,Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),HMIS Participation Rate for Year-Round Beds (TH),Dedicated Veteran Beds (TH),Total Year-Round Beds (SH).1,Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),HMIS Participation Rate for Year-Round Beds (SH),Dedicated Veteran Beds (SH),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),HMIS Participation Rate for Year-Round Beds (RRH),Dedicated Veteran Beds (RRH),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),HMIS Participation Rate for Year-Round Beds (PSH),Dedicated Veteran Beds (PSH),Dedicated Chronically Homeless Beds (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),HMIS Participation Rate for Year-Round Beds (OPH),Dedicated Veteran Beds (OPH)
AZ-501,Tucson/Pima County CoC,Major City CoC,2022,"1,052,000",2227,1345,882,1547,288,14,166,28,184,397,259,138,292,55,3,9,1,37,168,106,62,120,26,2,8,0,12,13,11,2,10,1,0,2,0,0,578,376,202,422,82,5,19,1,49,1649,969,680,1125,206,9,147,27,135,798,119,7,126,672,661,109,7,116,545,137,10,10,127,182,156,26,138,28,1,2,0,13,46,42,4,34,7,0,0,0,5,38,33,5,26,5,1,2,0,4,2,2,0,2,0,0,0,0,0,86,77,9,62,12,1,2,0,9,96,79,17,76,16,0,0,0,4,973,919,919,0.9445,640,311,22,166,640,606,606,0.9469,68,29,24,311,291,291,0.9357,133,22,22,22,1,9,820,817,817,0.9963,13,1535,1535,810,0.5277,725,469,279,279,0,0,0
AZ-502,"Phoenix, Mesa/Maricopa County CoC",Major City CoC,2022,"5,008,913",9026,6871,2155,5642,2329,69,521,58,407,2796,2110,686,1520,931,37,131,18,159,1158,812,346,665,354,10,41,1,87,43,37,6,27,11,1,4,0,0,3997,2959,1038,2212,1296,48,176,19,246,5029,3912,1117,3430,1033,21,345,39,161,1287,622,6,628,659,1238,578,6,584,654,49,44,44,5,420,370,50,278,103,2,21,1,15,57,57,0,36,17,0,2,0,2,197,174,23,123,63,0,4,0,7,43,37,6,27,11,1,4,0,0,297,268,29,186,91,1,10,0,9,123,102,21,92,12,1,11,1,6,4238,3822,3514,0.8292,2916,1277,45,253,2916,2580,2450,0.8402,0,103,2,1277,1197,1019,0.798,206,45,45,45,1,45,1313,1288,1288,0.981,265,6362,6362,6362,1,1086,1618,416,416,416,1,20
CA-500,San Jose/Santa Clara City & County CoC,Major City CoC,2022,"1,886,000",10028,5304,4724,6008,1426,583,727,249,1035,2004,985,1019,1193,277,128,138,43,225,306,173,133,165,57,23,14,11,36,10,8,2,5,1,0,1,0,3,2320,1166,1154,1363,335,151,153,54,264,7708,4138,3570,4645,1091,432,574,195,771,2838,920,5,925,1913,2703,804,5,809,1894,135,116,116,19,660,410,250,361,165,22,28,22,62,87,64,23,51,17,6,3,2,8,43,39,4,19,15,6,3,0,0,10,8,2,5,1,0,1,0,3,140,111,29,75,33,12,7,2,11,520,299,221,286,132,10,21,20,51,2331,2228,2228,0.9558,1837,474,20,224,1837,1754,1754,0.9548,203,499,87,474,454,454,0.9578,117,20,20,20,1,20,1393,1393,1393,1,113,4407,4340,4340,0.9848,1457,2397,0,0,0,,0
CA-501,San Francisco CoC,Major City CoC,2022,"815,201",7754,5397,2357,3312,2957,427,336,227,495,2933,2228,705,1338,1318,45,22,36,174,424,289,135,103,167,77,17,16,44,0,0,0,0,0,0,0,0,0,3357,2517,840,1441,1485,122,39,52,218,4397,2880,1517,1871,1472,305,297,175,277,2691,1600,0,1600,1091,2648,1561,0,1561,1087,43,39,39,4,605,434,171,264,209,41,38,33,20,152,138,14,85,61,2,0,2,2,49,42,7,26,18,1,0,1,3,0,0,0,0,0,0,0,0,0,201,180,21,111,79,3,0,3,5,404,254,150,153,130,38,38,30,15,2606,2388,2190,0.8404,2051,555,0,136,2051,1974,1838,0.8961,129,1587,65,555,414,352,0.6342,71,0,0,0,,0,1919,1904,1884,0.9818,58,5815,5815,4518,0.777,1690,2677,6621,6621,6459,0.9755,41
CA-502,"Oakland, Berkeley/Alameda County CoC",Major City CoC,2022,"117,145",9747,7352,2395,3765,4183,450,418,262,669,2075,1682,393,689,1061,60,76,29,160,513,420,93,97,303,23,28,11,51,24,22,2,5,18,0,0,0,1,2612,2124,488,791,1382,83,104,40,212,7135,5228,1907,2974,2801,367,314,222,457,2728,979,12,991,1737,2601,884,12,896,1705,127,95,95,32,550,464,86,255,189,3,26,28,49,58,50,8,31,22,1,0,2,2,38,35,3,13,20,2,0,0,3,24,22,2,5,18,0,0,0,1,120,107,13,49,60,3,0,2,6,430,357,73,206,129,0,26,26,43,3979,3700,3243,0.815,3164,762,53,138,3164,2911,2510,0.7933,113,0,2,762,736,680,0.8924,83,53,53,53,1,53,1550,1550,1539,0.9929,95,4169,4148,3065,0.7352,986,952,0,0,0,,0
CA-503,Sacramento City & County CoC,Major City CoC,2022,"1,589,000",9278,7431,1847,4311,2900,225,678,163,1001,1979,1589,390,938,755,51,48,40,147,635,498,137,272,275,7,16,6,59,0,0,0,0,0,0,0,0,0,2614,2087,527,1210,1030,58,64,46,206,6664,5344,1320,3101,1870,167,614,117,795,4314,940,0,940,3374,3955,793,0,793,3162,359,147,147,212,625,583,42,346,113,50,35,23,58,59,49,10,36,21,0,0,0,2,151,134,17,93,42,2,5,2,7,0,0,0,0,0,0,0,0,0,210,183,27,129,63,2,5,2,9,415,400,15,217,50,48,30,21,49,2561,2479,2213,0.8641,1862,699,0,159,1862,1802,1684,0.9044,55,675,20,699,677,529,0.7568,139,0,0,0,,0,764,728,726,0.9503,88,3466,3466,2839,0.8191,733,2873,246,246,246,1,31
CA-514,Fresno City & County/Madera County CoC,Major City CoC,2022,"1,172,513",4216,2163,2053,2544,605,130,305,35,597,1542,799,743,923,279,82,65,11,182,336,133,203,244,53,9,7,1,22,0,0,0,0,0,0,0,0,0,1878,932,946,1167,332,91,72,12,204,2338,1231,1107,1377,273,39,233,23,393,938,655,0,655,283,860,577,0,577,283,78,78,78,0,205,143,62,120,49,5,14,2,15,76,51,25,41,19,4,4,2,6,30,25,5,22,7,0,1,0,0,0,0,0,0,0,0,0,0,0,106,76,30,63,26,4,5,2,6,99,67,32,57,23,1,9,0,9,2153,1960,1308,0.6075,1795,358,0,101,1795,1651,999,0.5565,0,98,41,358,309,309,0.8631,60,0,0,0,,0,389,330,330,0.8483,26,1612,1612,739,0.4584,939,992,900,900,44,0.0489,44
CA-600,Los Angeles City & County CoC,Major City CoC,2022,"9,830,000",65111,36171,28940,29095,29814,992,1461,650,3099,16287,9724,6563,7459,7836,188,294,100,410,2742,1674,1068,1115,1424,40,57,20,86,204,165,39,99,85,3,9,6,2,19233,11563,7670,8673,9345,231,360,126,498,45878,24608,21270,20422,20469,761,1101,524,2601,26985,4535,105,4640,22345,25583,3515,105,3620,21963,1402,1020,1020,382,3456,2642,814,1835,1373,59,53,9,127,214,174,40,107,94,2,4,2,5,333,282,51,151,159,9,7,1,6,188,150,38,88,82,2,8,6,2,735,606,129,346,335,13,19,9,13,2721,2036,685,1489,1038,46,34,0,114,24465,23598,16589,0.6781,20070,3963,432,1107,20070,19722,14381,0.7165,798,0,14,3963,3444,1955,0.4933,686,432,432,253,0.5856,407,10514,10486,10454,0.9943,409,23146,23118,14758,0.6376,6105,4404,1877,1806,1521,0.8103,0
CA-601,San Diego City and County CoC,Major City CoC,2022,"3,286,000",8427,5587,2840,5531,2066,167,261,156,246,3036,1982,1054,1885,811,51,75,87,127,1249,723,526,828,320,18,28,17,38,36,30,6,28,6,1,1,0,0,4321,2735,1586,2741,1137,70,104,104,165,4106,2852,1254,2790,929,97,157,52,81,1414,758,24,782,632,1323,681,24,705,618,91,77,77,14,686,542,144,402,208,7,32,14,23,100,89,11,59,32,1,3,2,3,195,151,44,137,44,1,5,4,4,13,13,0,10,3,0,0,0,0,308,253,55,206,79,2,8,6,7,378,289,89,196,129,5,24,8,16,5801,5463,5040,0.8688,4090,1652,59,369,4090,3970,3648,0.8919,40,55,16,1652,1434,1333,0.8069,325,59,59,59,1,28,2527,2387,2362,0.9347,589,6469,6469,6469,1,3522,950,2537,2537,2370,0.9342,140
CA-604,Bakersfield/Kern County CoC,Major City CoC,2022,"917,673",1603,941,662,1139,318,12,39,14,81,644,382,262,443,162,2,19,4,14,231,143,88,180,37,1,7,3,3,0,0,0,0,0,0,0,0,0,875,525,350,623,199,3,26,7,17,728,416,312,516,119,9,13,7,64,345,201,0,201,144,345,201,0,201,144,0,0,0,0,94,67,27,62,19,3,1,1,8,16,13,3,9,4,0,1,0,2,39,31,8,26,10,0,0,1,2,0,0,0,0,0,0,0,0,0,55,44,11,35,14,0,1,1,4,39,23,16,27,5,3,0,0,4,1105,993,993,0.8986,810,295,0,62,810,756,756,0.9333,0,5,4,295,237,237,0.8034,58,0,0,0,,0,548,519,519,0.9471,92,3058,3058,3058,1,313,379,10,10,10,1,10
